Champions	Degree	Num.Wins	Num.Losses	Win.Pct
WI Green Bay	5	21	17	0.553
Evansville	5	11	21	0.344
CS Fullerton	5	16	18	0.471
Long Beach St	5	15	19	0.441
South Dakota	5	13	17	0.433
NJIT	5	22	13	0.629
North Florida	5	16	17	0.485
San Diego	5	21	15	0.583
S Dakota St	5	24	9	0.727
F Dickinson	5	21	14	0.6
Fresno St	5	23	9	0.719
E Illinois	5	14	18	0.438
S Illinois	5	17	15	0.531
American Univ	5	15	15	0.5
Citadel	5	12	18	0.4
G Washington	5	9	24	0.273
Indiana St	5	15	16	0.484
James Madison	5	14	19	0.424
Binghamton	5	10	23	0.303
William & Mary	5	14	17	0.452
North Texas	5	21	12	0.636
Seattle	5	18	15	0.545
Bucknell	5	21	12	0.636
Hampton	5	18	17	0.514
Arkansas St	5	13	19	0.406
Wm Carey	5	1	1	0.5
Ohio	5	14	17	0.452
Robert Morris	5	18	17	0.514
Hofstra	5	27	8	0.771
Illinois St	5	17	16	0.515
NC A&T	5	19	13	0.594
Dartmouth	5	11	19	0.367
Bethune-Cookman	5	14	17	0.452
Texas St	5	24	10	0.706
Utah	5	17	14	0.548
Missouri KC	5	11	21	0.344
Weber St	5	18	15	0.545
CS Northridge	5	13	21	0.382
C Michigan	5	23	12	0.657
Missouri St	5	16	16	0.5
Miami OH	5	15	17	0.469
St Bonaventure	5	18	16	0.529
Drake	5	24	10	0.706
UC Riverside	5	10	23	0.303
E Kentucky	5	13	18	0.419
California	5	8	23	0.258
Towson	5	10	22	0.312
ULM	5	19	16	0.543
Oral Roberts	5	11	21	0.344
Southern Utah	5	17	17	0.5
Texas A&M	5	14	18	0.438
FL Gulf Coast	5	14	18	0.438
Troy	5	12	18	0.4
Drexel	5	13	19	0.406
Washington St	5	11	21	0.344
Santa Clara	5	16	15	0.516
Lamar	5	20	13	0.606
Grand Canyon	5	20	14	0.588
Hawaii	5	18	13	0.581
Pacific	5	14	18	0.438
UC Santa Barbara	5	22	10	0.688
Liberty	5	29	7	0.806
Canisius	5	15	17	0.469
Rice	5	13	19	0.406
George Mason	5	18	15	0.545
Alabama St	5	12	19	0.387
Campbell	5	20	13	0.606
La Salle	5	10	21	0.323
Boise St	5	13	20	0.394
New Orleans	5	19	14	0.576
W Carolina	5	7	25	0.219
East Carolina	5	10	21	0.323
CS Bakersfield	5	17	16	0.515
South Alabama	5	17	17	0.5
Alabama A&M	5	5	27	0.156
E Michigan	5	15	17	0.469
New Hampshire	5	5	24	0.172
Nicholls St	5	13	17	0.433
Air Force	5	14	18	0.438
Maine	5	5	27	0.156
Chattanooga	5	12	20	0.375
Prairie View	5	22	13	0.629
Stanford	5	15	16	0.484
Northwestern LA	5	11	20	0.355
Abilene Chr	5	27	7	0.794
MTSU	5	11	21	0.344
Mercer	5	11	20	0.355
Mt St Mary's	5	9	22	0.29
Sam Houston St	5	21	12	0.636
New Mexico St	5	30	5	0.857
W Illinois	5	10	21	0.323
SE Louisiana	5	17	16	0.515
NE Omaha	5	21	11	0.656
Winthrop	5	18	12	0.6
Ark Pine Bluff	5	13	19	0.406
Charleston So	5	18	16	0.529
McNeese St	5	8	22	0.267
Jacksonville St	5	24	9	0.727
Jackson St	5	13	19	0.406
SIUE	5	10	21	0.323
Tennessee St	5	9	21	0.3
Presbyterian	5	20	16	0.556
Appalachian St	5	11	21	0.344
TAM C. Christi	5	14	18	0.438
High Point	5	16	15	0.516
Cent Arkansas	5	14	19	0.424
Louisiana	5	19	13	0.594
N Dakota St	5	19	16	0.543
Southern Univ	5	7	25	0.219
Norfolk St	5	22	14	0.611
UTRGV	5	20	17	0.541
Denver	6	8	22	0.267
Montana	6	26	9	0.743
Colorado St	6	12	20	0.375
Idaho St	6	11	19	0.367
Portland St	6	16	16	0.5
Lafayette	6	10	20	0.333
Cal Baptist	6	16	15	0.516
Ark Little Rock	6	10	21	0.323
Northern Arizona	6	10	21	0.323
Loyola NO	6	1	1	0.5
Portland	6	7	25	0.219
Jacksonville	6	12	20	0.375
UC Davis	6	11	20	0.355
SE Missouri St	6	10	21	0.323
Incarnate Word	6	6	25	0.194
E Washington	6	16	18	0.471
Navy	6	12	19	0.387
MS Valley St	6	6	26	0.188
Loyola MD	6	11	21	0.344
TN Martin	6	12	19	0.387
UNC Wilmington	6	10	23	0.303
Tennessee Tech	6	8	23	0.258
CS Sacramento	6	15	16	0.484
NC Central	6	18	16	0.529
Morgan St	6	9	21	0.3
Montana St	6	15	17	0.469
SC Upstate	6	6	26	0.188
Idaho	6	5	27	0.156
UTEP	6	8	21	0.276
Chicago St	6	3	29	0.094
Stetson	6	7	24	0.226
San Jose St	6	4	27	0.129
Cal Poly	6	6	23	0.207
Delaware St	6	6	25	0.194
Florida A&M	6	12	19	0.387
North Alabama	6	10	22	0.312
VMI	6	11	21	0.344
Alcorn St	6	10	21	0.323
Coppin St	6	8	25	0.242
Kennesaw	6	6	26	0.188
Savannah St	6	11	20	0.355
NW Nazarene	7	1	1	0.5
Lincoln PA	7	1	NA	NA
S Carolina St	7	8	26	0.235
MD E Shore	7	7	25	0.219
UNC Asheville	7	4	27	0.129
Fayetteville St	8	1	NA	NA
