Champions	Degree	Num.Wins	Num.Losses	Win.Pct
Lake Michigan	16	28	7	0.8
Gallaudet	16	17	10	0.63
North Platte CC	16	6	23	0.207
S Suburban	16	27	7	0.794
Western Tech	16	18	7	0.72
Cape Fear CC	16	28	5	0.848
Pima CC	16	21	12	0.636
McHenry Co	17	22	10	0.688
Butler Co-KS	17	25	5	0.833
Cloud Co	17	15	13	0.536
Dodge City CC	17	14	17	0.452
Highland CC IL	17	14	6	0.7
Hostos CC	17	28	5	0.848
Massasoit CC	17	20	3	0.87
Chesapeake	17	20	7	0.741
Parkland	17	15	14	0.517
Laramie Co	17	14	12	0.538
Lincoln Land	17	21	4	0.84
Mott CC	17	20	10	0.667
Elgin CC	17	21	8	0.724
Eastern Wyoming	17	20	9	0.69
Gillette	17	13	14	0.481
S Georgia Tech	17	29	4	0.879
Southeastern CC	17	13	13	0.5
MA Liberal Arts	17	5	19	0.208
CCBC Catonsville	17	16	12	0.571
Northeast CC	17	11	10	0.524
Waubonsee CC	17	13	12	0.52
Herkimer Co	17	5	14	0.263
Alvernia	17	3	22	0.12
Lakeland CC	17	20	10	0.667
Howard Col	17	12	15	0.444
Odessa	17	23	8	0.742
Otero JC	17	13	13	0.5
Seward Co	17	29	4	0.879
Alfred St	17	6	18	0.25
AZ Western	17	11	19	0.367
Owens CC	17	25	9	0.735
Lake Co	17	14	14	0.5
Moraine Val	17	34	3	0.919
Southern Idaho	17	18	11	0.621
Colby CC	17	6	21	0.222
Chand-Gilbert	17	12	15	0.444
Finger Lakes CC	17	7	16	0.304
Eastern Arizona	17	17	12	0.586
Johnson St	17	2	22	0.083
Bry & Strat-VB	17	25	6	0.806
Iowa Cent	17	14	12	0.538
C Arizona	17	22	9	0.71
Salt Lake CC	17	24	6	0.8
Southwestern CC	17	9	18	0.333
Monroe CC	17	18	6	0.75
Monroe-NR	17	19	8	0.704
Yeshiva	17	5	18	0.217
New Mexico JC	17	29	6	0.829
Labette CC	17	12	10	0.545
Scottsdale CC	17	8	18	0.308
Bryn Mawr	17	1	24	0.04
York NY	17	5	20	0.2
Wentworth Tech	17	4	21	0.16
Palm Beach St	17	10	20	0.333
PSU-Gtr Allegheny	17	8	7	0.533
Indian River	17	2	27	0.069
Henry Ford CC	17	2	20	0.091
Miami-Dade	17	19	9	0.679
ASA Miami	17	5	18	0.217
South Mtn	17	12	13	0.48
Hutchinson CC	17	30	4	0.882
Mesa CC	17	15	17	0.469
South Plains	17	28	5	0.848
Jackson CC	17	12	14	0.462
John Wood CC	17	11	13	0.458
Mt St Vincent	17	6	17	0.261
Wells	17	3	22	0.12
Northeastern JC	17	19	7	0.731
Catawba Val	17	19	7	0.731
Illinois Val	17	14	14	0.5
Cent CC-Columbus	17	5	10	0.333
Ancilla	17	15	13	0.536
Mt Holyoke	17	1	24	0.04
PSU-Fayette	17	4	8	0.333
Cazenovia	17	9	15	0.375
Casper College	17	25	7	0.781
Kellogg CC	17	6	20	0.231
Triton Col	17	18	13	0.581
St Joseph CT	17	3	22	0.12
Harford CC	17	31	2	0.939
Tyler JC	17	27	6	0.818
Clinton JC	17	20	4	0.833
Southeast CC	17	5	17	0.227
McCook CC	17	17	11	0.607
Lansing CC	17	7	17	0.292
Grand Rapids CC	17	16	11	0.593
Highland CC KS	17	15	5	0.75
Mercyhurst NE	17	11	12	0.478
Kansas City KS	17	24	3	0.889
Kilgore	17	19	9	0.679
Kankakee CC	17	12	15	0.444
Trinidad St JC	17	12	13	0.48
W Nebraska CC	17	26	4	0.867
Kennedy-King	17	5	22	0.185
Central Lakes	17	17	10	0.63
Angelina	17	29	4	0.879
Three Rivers	17	26	4	0.867
FL Southwestern	17	24	3	0.889
Walters St	17	28	5	0.848
Union Co	17	28	5	0.848
Sinclair CC	17	25	6	0.806
Gulf Coast CC	17	27	5	0.844
Wayne Co	17	19	11	0.633
Midland TX	18	22	8	0.733
Santa Fe CC	18	18	8	0.692
Cayuga CC	18	6	16	0.273
Neosho Co	18	9	22	0.29
Broward CC	18	21	8	0.724
State Fair CC	18	7	18	0.28
E Florida St	18	12	15	0.444
Florida St-Jax	18	4	24	0.143
Hillsborough CC	18	11	15	0.423
Cuyahoga CC	18	10	17	0.37
Seminole St	18	13	11	0.542
Cent Wyoming	18	7	19	0.269
N OK-Enid	18	27	4	0.871
Glen Oaks CC	18	4	22	0.154
St Petersburg	18	12	15	0.444
Shelton St	18	29	4	0.879
Louisburg	18	18	11	0.621
Delta Col	18	12	14	0.462
Des Moines CC	18	14	13	0.519
Fort Scott CC	18	9	10	0.474
Morton	18	16	15	0.516
Schoolcraft	18	18	11	0.621
SE Illinois	18	19	10	0.655
Allen Co	18	2	28	0.067
Cisco JC	18	13	10	0.565
Daytona St	18	18	10	0.643
Harcum Col	18	19	8	0.704
Tohono O'odham	18	11	16	0.407
Bay Path	18	1	22	0.043
Lake Land IL	18	24	8	0.75
Snow Col	18	21	8	0.724
Garden City CC	18	12	17	0.414
Andrews	18	4	8	0.333
S Vermont	18	6	20	0.231
Collin Co	18	21	7	0.75
Weatherford	18	13	7	0.65
John Logan	18	12	16	0.429
Oakton CC	18	5	22	0.185
Iowa Lakes CC	18	13	8	0.619
NW Florida St	18	26	6	0.812
Wabash Val	18	30	1	0.968
Cin Clermont	18	4	6	0.4
Little Priest	18	8	18	0.308
Lackawanna	18	25	9	0.735
Oakland CC	18	7	17	0.292
Eastern Utah	18	18	10	0.643
Redlands CC	18	18	10	0.643
Marshalltown CC	18	4	17	0.19
Macomb CC	18	16	3	0.842
NE OK A&M	18	20	9	0.69
Potomac St-WVU	18	17	6	0.739
MN St CTC	18	10	15	0.4
Edison CC	18	15	5	0.75
MN West C&T	18	13	11	0.542
MCC Maple Woods	18	11	10	0.524
North Idaho	18	17	9	0.654
Barton Co	18	21	10	0.677
Pine Manor	18	1	19	0.05
Col Cent Florida	18	9	19	0.321
Independence CC	18	19	10	0.655
Chipola	18	21	6	0.778
N Central MO	18	3	17	0.15
Moberly Area	18	15	16	0.484
Glendale AZ	18	5	20	0.2
Patrick Henry CC	18	3	16	0.158
St Clair Co	18	12	14	0.462
PSU Wilkes-Barre	18	4	9	0.308
Tallahassee CC	18	25	5	0.833
Prairie St	18	9	19	0.321
Wilbur Wright	18	13	13	0.5
Jefferson Col	18	4	21	0.16
Bard	18	5	20	0.2
Pearl River CC	18	16	9	0.64
Panola	18	11	12	0.478
Mineral Area	18	21	8	0.724
Penn Col Tech	18	1	24	0.04
Caldwell CC Tech	18	7	7	0.5
Lorain Co CC	18	10	16	0.385
Treasure Val CC	18	13	15	0.464
Nassau CC	18	25	6	0.806
Pensacola St	18	14	14	0.5
Wallace St	18	23	7	0.767
Cowley Co	18	19	8	0.704
Cleveland St CC	18	7	17	0.292
Danville CC IL	18	3	21	0.125
Phoenix Col	18	4	23	0.148
Pratt CC	18	14	11	0.56
Coffeyville CC	18	7	23	0.233
Malcolm X	18	9	14	0.391
Frederick CC	18	12	12	0.5
Frank Phillips	18	7	15	0.318
Olney	18	15	13	0.536
Alpena CC	18	2	23	0.08
Sarah Lawrence	18	3	22	0.12
Kishwaukee CC	18	8	21	0.276
Northwest KS Tech	18	2	25	0.074
Lewis & Clark CC	18	13	10	0.565
Ranger	18	15	11	0.577
Montgomery-R	18	17	12	0.586
W Wyoming CC	18	5	21	0.192
Erie CC	18	5	18	0.217
UConn-AP	18	16	13	0.552
Southern MD	18	13	12	0.52
Jones Co CC	18	28	3	0.903
Western Texas	19	5	19	0.208
Col of Dupage	19	5	22	0.185
N OK-Tonkawa	19	10	17	0.37
Connors St	19	12	16	0.429
Kaskaskia	19	2	22	0.083
Gogebic CC	19	10	14	0.417
Raritan Val	19	22	9	0.71
Grayson Co JC	19	14	16	0.467
Guilford Tech CC	19	12	16	0.429
Snead St	19	15	15	0.5
StL CC-Meramec	19	16	8	0.667
Fayetteville Tech	19	8	16	0.333
Hagerstown CC	19	11	12	0.478
W Oklahoma St	19	10	17	0.37
Colorado NW	19	2	26	0.071
Pratt Inst	19	3	8	0.273
Columbus St CC	19	8	15	0.348
Shawnee CC	19	4	19	0.174
Vincennes	19	20	8	0.714
USC Salkehatchie	19	13	16	0.448
Lincoln Trail	19	13	9	0.591
NE MS CC	19	15	9	0.625
Crowder	19	11	19	0.367
N Arkansas	19	16	5	0.762
Lane CC	19	26	3	0.897
SW Tennessee	19	11	13	0.458
Linn-Benton CC	19	12	16	0.429
Georgia Highlands	19	20	13	0.606
Coastal Bend	19	7	23	0.233
Motlow St	19	18	11	0.621
Jackson St CC	19	11	11	0.5
Chattahoochee Val	19	25	7	0.781
Cecil Col	19	4	16	0.2
Coastal AL-Mon	19	7	23	0.233
Spartanburg Meth	19	8	11	0.421
Bunker Hill CC	19	7	10	0.412
Clark St	19	5	15	0.25
Dutchess CC	19	1	10	0.091
Gadsden St CC	19	9	18	0.333
Kentucky Chr	19	1	20	0.048
Sullivan Co	19	14	11	0.56
Chatt St Tech	19	18	9	0.667
Umpqua CC	19	26	4	0.867
Whatcom CC	19	16	8	0.667
CC of RI	19	11	12	0.478
Black Hawk-M	19	2	19	0.095
Big Bend CC	19	24	4	0.857
PSU-Scranton	19	4	10	0.286
Hill Col	19	17	10	0.63
East Central CC	19	18	6	0.75
Spokane CC	19	15	11	0.577
PSU-Hazleton	19	4	10	0.286
Lesley	19	2	22	0.083
Wake Tech	19	15	15	0.5
Wenatchee Val CC	19	23	5	0.821
Walla Walla CC	19	20	10	0.667
Roane St	19	11	19	0.367
Columbia Basin	19	14	14	0.5
Rochester C&T	19	9	13	0.409
Copiah-Lincoln	19	21	7	0.75
Lenoir CC	19	3	23	0.115
Yakima Val CC	19	15	12	0.556
Temple Col	19	12	12	0.5
Brunswick CC	19	9	18	0.333
Butler Co-PA	19	6	8	0.429
Murray St CC	19	9	18	0.333
Northwest WY	19	2	25	0.074
MS Gulf Coast	19	16	10	0.615
SW Illinois	19	6	21	0.222
Eastern OK St	19	4	22	0.154
Itawamba CC	19	21	5	0.808
Northern Virginia CC	19	10	14	0.417
Passaic Co	19	21	7	0.75
E Mississippi CC	20	11	13	0.458
McLennan CC	20	10	16	0.385
Queensborough	20	8	13	0.381
Bishop St	20	11	16	0.407
Rockland CC	20	1	6	0.143
Dyersburg St	20	9	17	0.346
MS Delta	20	7	15	0.318
Bossier Parish	20	11	19	0.367
Kingsborough	20	3	16	0.158
Paris JC	20	6	26	0.188
Sprfld Tech CC	20	11	11	0.5
Albany Tech	20	16	14	0.533
East Georgia Col	20	6	19	0.24
Volunteer St	20	7	15	0.318
Burlington Co	20	16	9	0.64
Luzerne Co CC	20	9	14	0.391
Centralia Col	20	15	14	0.517
Delgado CC	20	6	18	0.25
SAU Tech	20	11	6	0.647
Lawson St	20	11	20	0.355
Monroe-Bronx	20	12	19	0.387
Lamar CC	20	1	26	0.037
Rend Lake	20	4	23	0.148
Philadelphia CC	20	22	5	0.815
Mt Hood CC	20	20	10	0.667
Bor Manhattan	20	5	18	0.217
Clackamas CC	20	15	11	0.577
Lower Columbia	20	21	8	0.724
Clarendon	20	4	22	0.154
Bronx CC	20	2	11	0.154
Ark Baptist	20	6	20	0.231
Milwaukee Tech	20	5	23	0.179
Garrett	20	8	16	0.333
Brookdale CC	20	24	4	0.857
Gateway CC	20	3	6	0.333
SW Oregon CC	20	10	17	0.37
Cent Georgia Tech	20	14	16	0.467
Anne Arundel	20	9	16	0.36
Bellevue CC	20	12	14	0.462
Orange Co	20	15	10	0.6
National Park	20	3	12	0.2
Tacoma CC	20	10	17	0.37
Blinn	20	8	19	0.296
LSU-Eunice	20	18	4	0.818
Itasca CC	20	11	16	0.407
Olympic	20	11	17	0.393
Harper	20	2	27	0.069
Everett CC	20	10	17	0.37
Wallace CC-Selma	20	9	18	0.333
NW Mississippi	20	5	14	0.263
PSU York	20	4	10	0.286
S Union St	20	19	11	0.633
Skagit Val CC	20	14	13	0.519
Blue Mountain CC	20	3	22	0.12
Peninsula	20	19	8	0.704
Meridian CC	20	9	14	0.391
Coastal AL-BM	20	8	14	0.364
Howard CC MD	20	7	15	0.318
PSU-Mont Alto	20	5	12	0.294
Lurleen Wallace	20	3	17	0.15
Mercer Co	20	9	15	0.375
Bergen CC	20	16	8	0.667
Enterprise St	20	2	18	0.1
Grays Harbor	20	16	11	0.593
Hinds CC	21	5	16	0.238
SW Mississippi	21	8	15	0.348
Andrew Col	21	6	18	0.25
Lehigh Carbon	21	3	14	0.176
SW Chr TX	21	4	18	0.182
Gloucester Co	21	13	13	0.5
Montgomery Co CC	21	10	12	0.455
Suffolk Co-Selden	21	12	7	0.632
Coahoma CC	21	7	16	0.304
Pierce CC	21	9	19	0.321
Baton Rouge CC	21	13	14	0.481
Essex CC	21	6	15	0.286
Chemekata CC	21	12	14	0.462
Ulster Co	21	4	9	0.308
Holmes CC	21	9	14	0.391
Edmonds CC	21	9	12	0.429
St Cloud Tech	21	3	20	0.13
S Puget Sound CC	21	7	20	0.259
Schenectady Co	21	1	6	0.143
Mid-Atlantic Chr	21	2	14	0.125
Vancouver Island	21	16	3	0.842
Sussex Co CC	21	16	11	0.593
Highline CC	21	12	14	0.462
So Crescent Tech	21	4	19	0.174
Middlesex Co	21	6	21	0.222
Truman Col	21	3	9	0.25
Northampton CC	21	7	14	0.333
Clark CC	21	5	22	0.185
Manor	21	5	15	0.25
Westchester CC	21	2	7	0.222
Jacksonville Col	21	1	19	0.05
Lake Superior CC	21	8	14	0.364
Columbia Greene	22	1	NA	NA
Southern-Shreve	22	1	19	0.05
Harrisburg Area CC	22	4	9	0.308
Mesabi Range	22	5	20	0.2
Shoreline CC	22	2	21	0.087
Ridgewater	22	4	15	0.211
Atlantic Cape CC	22	6	10	0.375
Co Col Morris	22	6	17	0.261
Capilano	22	12	4	0.75
Cheyney St	22	2	18	0.1
Christendom	22	3	7	0.3
Camden Co	22	2	18	0.1
Douglas	23	8	11	0.421
Okanagan Col	23	4	17	0.19
Ocean Co	23	1	20	0.048
Medicine Hat	24	22	3	0.88
S Alberta Tech	24	8	18	0.308
Olds	24	21	5	0.808
Red Deer	24	4	25	0.138
Keyano	24	22	9	0.71
Concordia AB	24	16	9	0.64
Langara	24	4	12	0.25
Camosun	24	9	7	0.562
Briercrest	24	13	13	0.5
N Alberta Tech	25	19	10	0.655
Lakeland AB	25	20	10	0.667
Augustana AB	25	18	11	0.621
King's AB	25	6	24	0.2
Ambrose	25	5	20	0.2
St Mary's AB	25	13	9	0.591
Lethbridge Col	25	15	9	0.625
Grande Prairie	25	1	26	0.037
